movieId,avg_rating,avg_sentiment,rating_variance,fairness_score,category
1,3.938,0.333,0.648,0.121,Fair
2,3.459,0.25,0.704,0.067,Fair
3,3.314,0.0,0.98,0.163,Fair
4,2.357,0.013,0.726,0.035,Fair
5,3.125,0.0,0.697,0.125,Fair
6,3.956,0.013,0.672,0.285,Overrated
7,3.185,0.0,0.956,0.137,Fair
8,2.875,0.013,1.268,0.069,Controversial
9,3.125,0.013,0.95,0.119,Fair
10,3.523,0.013,0.671,0.198,Fair
11,3.671,0.0,0.811,0.234,Overrated
12,2.421,0.013,1.563,0.022,Controversial
13,3.125,0.013,0.411,0.119,Fair
14,3.833,0.0,0.5,0.267,Overrated
15,3.0,0.013,1.458,0.094,Controversial
16,3.934,0.0,0.779,0.287,Overrated
17,3.877,0.0,1.008,0.275,Overrated
18,3.7,0.013,0.826,0.234,Overrated
19,2.727,0.013,1.132,0.039,Fair
20,2.5,0.013,0.964,0.006,Fair
21,3.494,0.0,0.753,0.199,Fair
22,3.222,0.0,0.678,0.144,Fair
23,3.125,0.013,1.25,0.119,Controversial
24,3.125,0.013,1.03,0.119,Fair
25,3.625,0.0,1.248,0.225,Controversial
26,3.5,0.0,0.375,0.2,Fair
27,3.333,0.013,1.438,0.16,Controversial
28,4.227,0.0,0.618,0.345,Overrated
29,4.013,0.0,0.682,0.303,Overrated
30,3.0,0.013,3.0,0.094,Controversial
31,3.257,0.5,0.8,0.099,Fair
32,3.986,0.0,0.623,0.297,Overrated
34,3.652,0.333,1.085,0.064,Fair
36,3.886,0.0,0.729,0.277,Overrated
38,2.125,0.0,0.729,0.075,Fair
39,3.32,0.143,1.009,0.093,Fair
40,4.25,0.0,1.125,0.35,Overrated
41,3.7,0.0,0.457,0.24,Overrated
42,3.0,0.013,0.667,0.094,Fair
43,3.188,0.0,0.424,0.137,Fair
44,2.589,0.013,1.106,0.011,Fair
45,3.312,0.0,0.69,0.162,Fair
46,3.067,0.0,1.388,0.113,Controversial
47,4.015,0.0,0.739,0.303,Overrated
48,3.227,0.013,0.924,0.139,Fair
49,3.0,0.013,0.0,0.094,Fair
50,4.237,0.0,0.639,0.347,Overrated
